behind it a bar with chairs and two people , and a bench with one person lying on it . 	 two people 	32	42	1	0
a white high-rise building ( the middle rows are red ) with large windows ( especialy at the corners ) and flags above the entrance . 	 the entrance 	119	131	0	0
there is some water in the foreground and brown , bald hills in the background . 	 some water 	9	19	0	0
there is some water in the foreground and brown , bald hills in the background . 	 hills 	55	60	0	0
a yellow , two-storey building with a red roof and a grey wall in front of it and a yellow wall next to it . 	 two-storey building 	11	30	0	0
there is some water in the foreground and brown , bald hills in the background . 	 some water 	9	19	0	0
there is some water in the foreground and brown , bald hills in the background . 	 some water 	9	19	0	0
a yellow , two-storey building with a red roof and a grey wall in front of it and a yellow wall next to it . 	 wall 	58	62	0	0
two single beds with a gold and blue bedcover , burning lamps on each side and a painting above the beds . 	 beds 	11	15	1	0
two single beds with a gold and blue bedcover , burning lamps on each side and a painting above the beds . 	 beds 	11	15	1	0
a room with beige walls , some parts with natural stones . 	 stones 	50	56	0	0
a room with beige walls , some parts with natural stones . 	 stones 	50	56	0	0
two single beds with a gold and blue bedcover , burning lamps on each side and a painting above the beds . 	 a painting 	79	89	0	0
two single beds with a gold and blue bedcover , burning lamps on each side and a painting above the beds . 	 lamps 	56	61	0	0
two single beds with a gold and blue bedcover , burning lamps on each side and a painting above the beds . 	 lamps 	56	61	0	0
a room with beige walls , some parts with natural stones . 	 walls 	18	23	0	1
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 curtains 	109	117	0	0
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 curtains 	109	117	0	0
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 carpets 	74	81	1	1
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 curtains 	109	117	1	0
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 a king-sized bed 	42	58	1	0
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 curtains 	109	117	0	0
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 curtains 	109	117	0	0
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 curtains 	109	117	0	1
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 curtains 	109	117	1	0
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 curtains 	109	117	0	0
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 walls 	34	39	0	0
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 curtains 	109	117	0	0
a large room with yellow-brownish walls , a king-sized bed made of wood , carpets , a TV , and a window with curtains in the background . 	 curtains 	109	117	0	0
there is also a tree in the foreground on the left . 	 also a tree 	9	20	0	0
the entrance of a high , black , grey and yellow building with a white limousine and a white flag in front of it . 	 a white limousine 	63	80	0	0
the entrance of a high , black , grey and yellow building with a white limousine and a white flag in front of it . 	 yellow building 	42	57	0	0
the entrance of a high , black , grey and yellow building with a white limousine and a white flag in front of it . 	 a white flag 	85	97	0	0
a room with yellow walls , green wooden beds , chequered bedcovers and a green wooden night table in between with a phone . 	 beds 	40	44	1	0
a room with yellow walls , green wooden beds , chequered bedcovers and a green wooden night table in between with a phone . 	 beds 	40	44	0	0
a window with curtains , a table and two chairs in the background . 	 curtains 	14	22	0	0
a room with yellow walls , green wooden beds , chequered bedcovers and a green wooden night table in between with a phone . 	 walls 	19	24	0	0
a window with curtains , a table and two chairs in the background . 	 curtains 	14	22	0	0
a window with curtains , a table and two chairs in the background . 	 two chairs 	37	47	1	1
a room with yellow walls , green wooden beds , chequered bedcovers and a green wooden night table in between with a phone . 	 walls 	19	24	0	0
a window with curtains , a table and two chairs in the background . 	 two chairs 	37	47	1	0
a window with curtains , a table and two chairs in the background . 	 two chairs 	37	47	1	0
a window with curtains , a table and two chairs in the background . 	 curtains 	14	22	0	0
a window with curtains , a table and two chairs in the background . 	 curtains 	14	22	0	0
a window with curtains , a table and two chairs in the background . 	 a table 	25	32	0	0
a room with yellow walls , green wooden beds , chequered bedcovers and a green wooden night table in between with a phone . 	 walls 	19	24	0	0
a room with light-pink walls , a bed made of wood , white towels , a night table with a lamp on both sides , and a painting above the bed . 	 the bed 	130	137	0	1
a room with light-pink walls , a bed made of wood , white towels , a night table with a lamp on both sides , and a painting above the bed . 	 towels 	58	64	1	0
a room with light-pink walls , a bed made of wood , white towels , a night table with a lamp on both sides , and a painting above the bed . 	 the bed 	130	137	0	0
a room with light-pink walls , a bed made of wood , white towels , a night table with a lamp on both sides , and a painting above the bed . 	 a lamp 	86	92	0	0
a room with light-pink walls , a bed made of wood , white towels , a night table with a lamp on both sides , and a painting above the bed . 	 a lamp 	86	92	0	0
a room with light-pink walls , a bed made of wood , white towels , a night table with a lamp on both sides , and a painting above the bed . 	 a painting 	113	123	0	0
a room with light-pink walls , a bed made of wood , white towels , a night table with a lamp on both sides , and a painting above the bed . 	 walls 	23	28	0	1
a room with walls made of orange bricks , two single beds made of wood with light bedcover , a night table with a lamp in between and a painting above it . 	 beds 	53	57	0	0
a room with walls made of orange bricks , two single beds made of wood with light bedcover , a night table with a lamp in between and a painting above it . 	 beds 	53	57	0	0
a room with walls made of orange bricks , two single beds made of wood with light bedcover , a night table with a lamp in between and a painting above it . 	 beds 	53	57	0	0
a room with walls made of orange bricks , two single beds made of wood with light bedcover , a night table with a lamp in between and a painting above it . 	 a lamp 	112	118	0	0
a room with walls made of orange bricks , two single beds made of wood with light bedcover , a night table with a lamp in between and a painting above it . 	 a painting 	134	144	0	0
a room with walls made of orange bricks , two single beds made of wood with light bedcover , a night table with a lamp in between and a painting above it . 	 walls 	12	17	0	1
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 plants 	95	101	1	0
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 car 	7	10	0	0
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 tree 	27	31	0	0
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 plants 	95	101	1	0
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 plants 	95	101	1	0
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 plants 	95	101	0	0
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 plants 	95	101	0	0
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 plants 	95	101	0	0
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 tree 	27	31	0	0
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 white house 	129	140	0	0
a grey car , a large green tree and a smaller tree blooming in purple and also a lot of potted plants in front of a one-storey , white house . 	 white house 	129	140	1	0
there is an earth wall in the foreground and a brown , bald hill with further small houses in the background . 	 houses 	84	90	1	0
there is an earth wall in the foreground and a brown , bald hill with further small houses in the background . 	 houses 	84	90	0	0
there is an earth wall in the foreground and a brown , bald hill with further small houses in the background . 	 houses 	84	90	1	0
there is an earth wall in the foreground and a brown , bald hill with further small houses in the background . 	 houses 	84	90	0	0
there is an earth wall in the foreground and a brown , bald hill with further small houses in the background . 	 bald hill 	55	64	0	0
there is an earth wall in the foreground and a brown , bald hill with further small houses in the background . 	 bald hill 	55	64	0	0
there is an earth wall in the foreground and a brown , bald hill with further small houses in the background . 	 houses 	84	90	1	0
there is an earth wall in the foreground and a brown , bald hill with further small houses in the background . 	 houses 	84	90	1	0
there is an earth wall in the foreground and a brown , bald hill with further small houses in the background . 	 houses 	84	90	1	0
there is an earth wall in the foreground and a brown , bald hill with further small houses in the background . 	 the background 	94	108	0	0
a wooden bulk bed with grey mattresses and red curtains . 	 curtains 	47	55	0	0
a wooden bulk bed with grey mattresses and red curtains . 	 curtains 	47	55	0	0
a wooden bulk bed with grey mattresses and red curtains . 	 curtains 	47	55	0	0
a wooden bulk bed with grey mattresses and red curtains . 	 a wooden bulk bed 	0	17	1	0
a wooden bulk bed with grey mattresses and red curtains . 	 a wooden bulk bed 	0	17	0	1
a wooden bulk bed with grey mattresses and red curtains . 	 a wooden bulk bed 	0	17	1	0
a red , blue and white cargo ship in the water ( in a harbour ? ) 	 white cargo ship 	17	33	0	0
a red , blue and white cargo ship in the water ( in a harbour ? ) 	 the water 	37	46	0	1
a red , blue and white cargo ship in the water ( in a harbour ? ) 	 the water 	37	46	0	0
a red , blue and white cargo ship in the water ( in a harbour ? ) 	 the water 	37	46	0	0
a red , blue and white cargo ship in the water ( in a harbour ? ) 	 the water 	37	46	0	0
there are wooded slopes and snowcovered peaks in the background . 	 slopes 	17	23	0	0
there are wooded slopes and snowcovered peaks in the background . 	 the background 	49	63	0	0
there are wooded slopes and snowcovered peaks in the background . 	 slopes 	17	23	0	0
a house in the middle of a forest and on a lake . 	 a lake 	41	47	0	0
there are wooded slopes and snowcovered peaks in the background . 	 slopes 	17	23	0	0
there are wooded slopes and snowcovered peaks in the background . 	 slopes 	17	23	0	0
there is a road on the right . 	 a road 	9	15	0	0
there are wooded slopes and snowcovered peaks in the background . 	 slopes 	17	23	0	0
a house in the middle of a forest and on a lake . 	 a house 	0	7	0	0
and in the distant background a lake , an island and a mountain range with snowcovered peaks . 	 an island 	39	48	0	0
an access gravel road to green houses with dark grey roofs . 	 houses 	31	37	1	0
an access gravel road to green houses with dark grey roofs . 	 roofs 	53	58	0	0
and in the distant background a lake , an island and a mountain range with snowcovered peaks . 	 a mountain 	53	63	0	0
a small township with many dark green trees behind it . 	 a small township 	0	16	0	0
there is a wooden fence on the left , and there are cars parked on the right . 	 cars 	52	56	1	0
and in the distant background a lake , an island and a mountain range with snowcovered peaks . 	 an island 	39	48	0	0
an access gravel road to green houses with dark grey roofs . 	 an access gravel road 	0	21	0	0
and in the distant background a lake , an island and a mountain range with snowcovered peaks . 	 an island 	39	48	0	0
there are trees , a Welcome Nancy Hospedaje sign and an iron fence on the right , and white houses with dark grey roofs or reddish roofs on the left . 	 trees 	10	15	1	0
there are trees , a Welcome Nancy Hospedaje sign and an iron fence on the right , and white houses with dark grey roofs or reddish roofs on the left . 	 trees 	10	15	0	1
there are trees , a Welcome Nancy Hospedaje sign and an iron fence on the right , and white houses with dark grey roofs or reddish roofs on the left . 	 an iron fence 	53	66	1	0
there are trees , a Welcome Nancy Hospedaje sign and an iron fence on the right , and white houses with dark grey roofs or reddish roofs on the left . 	 roofs 	114	119	0	0
there are trees , a Welcome Nancy Hospedaje sign and an iron fence on the right , and white houses with dark grey roofs or reddish roofs on the left . 	 trees 	10	15	0	0
there are trees , a Welcome Nancy Hospedaje sign and an iron fence on the right , and white houses with dark grey roofs or reddish roofs on the left . 	 sign 	44	48	0	0
there are trees , a Welcome Nancy Hospedaje sign and an iron fence on the right , and white houses with dark grey roofs or reddish roofs on the left . 	 trees 	10	15	1	0
there are trees , a Welcome Nancy Hospedaje sign and an iron fence on the right , and white houses with dark grey roofs or reddish roofs on the left . 	 trees 	10	15	1	0
there are eight flags above the entrance , a pavement with a few pedestrians and a parked white car in front of it . 	 white car 	90	99	1	0
there are eight flags above the entrance , a pavement with a few pedestrians and a parked white car in front of it . 	 the entrance 	28	40	1	0
there are eight flags above the entrance , a pavement with a few pedestrians and a parked white car in front of it . 	 the entrance 	28	40	1	0
there are eight flags above the entrance , a pavement with a few pedestrians and a parked white car in front of it . 	 the entrance 	28	40	0	0
there are eight flags above the entrance , a pavement with a few pedestrians and a parked white car in front of it . 	 pedestrians 	65	76	1	0
there are eight flags above the entrance , a pavement with a few pedestrians and a parked white car in front of it . 	 the entrance 	28	40	1	0
there are eight flags above the entrance , a pavement with a few pedestrians and a parked white car in front of it . 	 the entrance 	28	40	0	0
a greenish yellow house with white ornamental strips , a yellow entrance and a writing Hostal Bonbini on blue background . 	 a greenish yellow house 	0	23	1	1
there are eight flags above the entrance , a pavement with a few pedestrians and a parked white car in front of it . 	 eight flags 	10	21	1	0
a room with brown walls and lots of cane , a couple of blankets on the ground , and window with blinds made of cane in the background . 	 window 	84	90	0	0
a room with brown walls and lots of cane , a couple of blankets on the ground , and window with blinds made of cane in the background . 	 walls 	18	23	0	0
a room with brown walls and lots of cane , a couple of blankets on the ground , and window with blinds made of cane in the background . 	 the ground 	67	77	0	0
a room with brown walls and lots of cane , a couple of blankets on the ground , and window with blinds made of cane in the background . 	 the ground 	67	77	0	0
there is a mosquito net above the bed and a backpack next to it . 	 the bed 	30	37	0	1
white bedcover and white pillows . 	 pillows 	25	32	0	0
a room with walls made of wood and also a wooden bed that has not been made . 	 wood 	26	30	0	0
white bedcover and white pillows . 	 pillows 	25	32	1	0
a room with walls made of wood and also a wooden bed that has not been made . 	 wood 	26	30	0	1
dense vegetation , a palm tree , flowers and bushes in front of and below them . 	 a palm tree 	19	30	1	0
dense vegetation , a palm tree , flowers and bushes in front of and below them . 	 dense vegetation 	0	16	1	0
two wooden huts on pillars , with a thatched roof and a green corrugated sheet roof . 	 huts 	11	15	1	0
two wooden huts on pillars , with a thatched roof and a green corrugated sheet roof . 	 a thatched roof 	34	49	0	0
two wooden huts on pillars , with a thatched roof and a green corrugated sheet roof . 	 a thatched roof 	34	49	0	0
dense vegetation , a palm tree , flowers and bushes in front of and below them . 	 dense vegetation 	0	16	0	0
there is a night table on the left and a chair on the right , and a window with white curtains in the background on the right . 	 curtains 	86	94	0	0
there is a night table on the left and a chair on the right , and a window with white curtains in the background on the right . 	 a chair 	39	46	0	0
a king-sized bed with purple bedcover . 	 a king-sized bed 	0	16	1	0
grey-blue carpet . 	 grey-blue carpet 	0	16	1	1
grey-blue carpet . 	 grey-blue carpet 	0	16	0	0
room with yellow walls and two paintings . 	 two paintings 	27	40	1	0
room with yellow walls and two paintings . 	 two paintings 	27	40	1	0
room with yellow walls and two paintings . 	 walls 	17	22	0	0
there is a night table on the left and a chair on the right , and a window with white curtains in the background on the right . 	 curtains 	86	94	0	0
there is a night table on the left and a chair on the right , and a window with white curtains in the background on the right . 	 curtains 	86	94	1	0
there are ten international flags and the writing Central above the entrance . 	 the entrance 	64	76	1	0
there are ten international flags and the writing Central above the entrance . 	 the entrance 	64	76	1	0
grey and red building with big windows ( on the right ) and closed garage doors ( on the left ) on the ground level . 	 red building 	9	21	1	1
grey and red building with big windows ( on the right ) and closed garage doors ( on the left ) on the ground level . 	 red building 	9	21	1	0
there are ten international flags and the writing Central above the entrance . 	 flags 	28	33	1	0
there are ten international flags and the writing Central above the entrance . 	 flags 	28	33	0	0
there are ten international flags and the writing Central above the entrance . 	 flags 	28	33	0	0
there are ten international flags and the writing Central above the entrance . 	 flags 	28	33	0	0
there are ten international flags and the writing Central above the entrance . 	 flags 	28	33	0	0
two single beds made of wood with red blankets and light-blue pillows . 	 beds 	11	15	1	0
two single beds made of wood with red blankets and light-blue pillows . 	 beds 	11	15	1	0
room with white walls and a picture . 	 a picture 	26	35	0	0
room with white walls and a picture . 	 walls 	16	21	0	0
a white , two-storey building with the green writing Hostal El Ancla . 	 two-storey building 	10	29	0	0
arched windows behind an iron fence and an green , arched entrance . 	 an iron fence 	22	35	1	0
a white , two-storey building with the green writing Hostal El Ancla . 	 two-storey building 	10	29	1	1
a white , two-storey building with the green writing Hostal El Ancla . 	 two-storey building 	10	29	1	0
a white , two-storey building with the green writing Hostal El Ancla . 	 two-storey building 	10	29	1	0
a white , two-storey building with the green writing Hostal El Ancla . 	 two-storey building 	10	29	0	0
a white , two-storey building with the green writing Hostal El Ancla . 	 two-storey building 	10	29	0	0
a white , two-storey building with the green writing Hostal El Ancla . 	 two-storey building 	10	29	0	0
a white , two-storey building with the green writing Hostal El Ancla . 	 two-storey building 	10	29	0	0
a room with grey walls , two single beds with grey , green and yellow striped bedcover and a night table with a bedside lamp in between . 	 beds 	36	40	0	0
a room with grey walls , two single beds with grey , green and yellow striped bedcover and a night table with a bedside lamp in between . 	 beds 	36	40	0	0
a room with grey walls , two single beds with grey , green and yellow striped bedcover and a night table with a bedside lamp in between . 	 walls 	17	22	0	0
there is a window with white curtains in the background . 	 curtains 	29	37	0	0
a room with grey walls , two single beds with grey , green and yellow striped bedcover and a night table with a bedside lamp in between . 	 a bedside lamp 	110	124	0	0
a room with grey walls , two single beds with grey , green and yellow striped bedcover and a night table with a bedside lamp in between . 	 walls 	17	22	0	0
there is a window with white curtains in the background . 	 curtains 	29	37	0	0
there is a window with white curtains in the background . 	 curtains 	29	37	0	0
a room with grey walls , two single beds with grey , green and yellow striped bedcover and a night table with a bedside lamp in between . 	 walls 	17	22	0	0
a swimming pool in the courtyard of a white building with a lot of trees and plants . 	 plants 	77	83	0	0
a swimming pool in the courtyard of a white building with a lot of trees and plants . 	 trees 	67	72	0	0
a swimming pool in the courtyard of a white building with a lot of trees and plants . 	 a lot 	58	63	0	0
a swimming pool in the courtyard of a white building with a lot of trees and plants . 	 a lot 	58	63	0	0
there are yellow and white canvas chairs , a sunshade and a grey cobblestone around the pool . 	 the pool 	84	92	0	0
there are yellow and white canvas chairs , a sunshade and a grey cobblestone around the pool . 	 the pool 	84	92	0	0
there are yellow and white canvas chairs , a sunshade and a grey cobblestone around the pool . 	 the pool 	84	92	0	0
there are yellow and white canvas chairs , a sunshade and a grey cobblestone around the pool . 	 a sunshade 	43	53	0	0
there are yellow and white canvas chairs , a sunshade and a grey cobblestone around the pool . 	 chairs 	34	40	0	0
there are yellow and white canvas chairs , a sunshade and a grey cobblestone around the pool . 	 chairs 	34	40	0	0
there are yellow and white canvas chairs , a sunshade and a grey cobblestone around the pool . 	 chairs 	34	40	0	0
there are yellow and white canvas chairs , a sunshade and a grey cobblestone around the pool . 	 chairs 	34	40	1	0
a modern room with white walls , a king-sized bed made of wood and gold and blue bed cover . 	 a king-sized bed 	33	49	1	1
there is a night table and a window with white curtains on the left . 	 curtains 	47	55	0	0
there is a night table and a window with white curtains on the left . 	 a window 	27	35	1	0
there is a night table and a window with white curtains on the left . 	 a window 	27	35	1	0
there is a night table and a window with white curtains on the left . 	 curtains 	47	55	0	0
a modern room with white walls , a king-sized bed made of wood and gold and blue bed cover . 	 walls 	25	30	0	0
a modern room with white walls , a king-sized bed made of wood and gold and blue bed cover . 	 walls 	25	30	0	0
there is a night table and a window with white curtains on the left . 	 a window 	27	35	1	0
a terrace of a white house with white tables and chairs and blue sunshades . 	 a terrace 	0	9	0	0
a terrace of a white house with white tables and chairs and blue sunshades . 	 chairs 	49	55	0	0
a terrace of a white house with white tables and chairs and blue sunshades . 	 tables 	38	44	0	0
a terrace of a white house with white tables and chairs and blue sunshades . 	 sunshades 	65	74	1	0
a terrace of a white house with white tables and chairs and blue sunshades . 	 sunshades 	65	74	1	0
a terrace of a white house with white tables and chairs and blue sunshades . 	 sunshades 	65	74	1	0
there is a beach with breaking waves and the setting sun in the background . 	 a beach 	9	16	0	0
there is a beach with breaking waves and the setting sun in the background . 	 a beach 	9	16	0	0
a terrace of a white house with white tables and chairs and blue sunshades . 	 a white house 	13	26	1	1
a white bungalow with a huge , brown hill behind it and trees , a sunshade , plastic chairs , a plastic table and canvas chairs in front of it . 	 trees 	56	61	1	0
a white bungalow with a huge , brown hill behind it and trees , a sunshade , plastic chairs , a plastic table and canvas chairs in front of it . 	 trees 	56	61	1	0
a white bungalow with a huge , brown hill behind it and trees , a sunshade , plastic chairs , a plastic table and canvas chairs in front of it . 	 trees 	56	61	0	0
a white bungalow with a huge , brown hill behind it and trees , a sunshade , plastic chairs , a plastic table and canvas chairs in front of it . 	 trees 	56	61	1	0
a white bungalow with a huge , brown hill behind it and trees , a sunshade , plastic chairs , a plastic table and canvas chairs in front of it . 	 a plastic table 	94	109	0	0
a white bungalow with a huge , brown hill behind it and trees , a sunshade , plastic chairs , a plastic table and canvas chairs in front of it . 	 a sunshade 	64	74	0	0
a white bungalow with a huge , brown hill behind it and trees , a sunshade , plastic chairs , a plastic table and canvas chairs in front of it . 	 brown hill 	31	41	0	0
a white bungalow with a huge , brown hill behind it and trees , a sunshade , plastic chairs , a plastic table and canvas chairs in front of it . 	 brown hill 	31	41	0	0
a white bungalow with a huge , brown hill behind it and trees , a sunshade , plastic chairs , a plastic table and canvas chairs in front of it . 	 brown hill 	31	41	0	0
in the foreground one can also see a part of a swimming pool . 	 pool 	56	60	0	0
in the foreground one can also see a part of a swimming pool . 	 pool 	56	60	0	0
two single beds made of wood with green and blue bedcover and a night table with a bedside lamp in between . 	 beds 	11	15	0	0
there is a window with white curtains on the left . 	 curtains 	29	37	0	0
two single beds made of wood with green and blue bedcover and a night table with a bedside lamp in between . 	 beds 	11	15	0	0
there is a window with white curtains on the left . 	 curtains 	29	37	0	0
two single beds made of wood with green and blue bedcover and a night table with a bedside lamp in between . 	 a bedside lamp 	81	95	0	0
a room with green walls . 	 walls 	18	23	0	0
there is a window with white curtains on the left . 	 a window 	9	17	1	0
and there is a painting on the wall . 	 a painting 	13	23	0	0
and there is a painting on the wall . 	 the wall 	27	35	0	1
a room with light grey and yellow walls and a king-sized bed made of wood with green bed cover . 	 a king-sized bed 	44	60	0	0
there is a night table with a bedside lamp on the left . 	 a bedside lamp 	28	42	0	0
a room with light grey and yellow walls and a king-sized bed made of wood with green bed cover . 	 a king-sized bed 	44	60	0	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 a thatched roof 	21	36	0	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 a thatched roof 	21	36	0	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 chairs 	90	96	1	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 chairs 	90	96	1	1
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 a blue building 	0	15	1	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 tables 	79	85	1	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 tables 	79	85	1	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 a blue building 	0	15	1	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 tables 	79	85	1	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 a blue building 	0	15	0	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 a blue building 	0	15	0	0
a blue building with a thatched roof and a wooden balcony and a hedge , wooden tables and chairs and sunshades in front of it . 	 a blue building 	0	15	1	0
there is a night table with a bedside lamp in between the beds , and a door to the bathroom in the background on the left . 	 beds 	30	34	1	0
there is a night table with a bedside lamp in between the beds , and a door to the bathroom in the background on the left . 	 beds 	30	34	1	0
there is a night table with a bedside lamp in between the beds , and a door to the bathroom in the background on the left . 	 a bedside lamp 	28	42	0	0
a room with red walls , two single beds made of iron and red and grey bedcovers . 	 walls 	16	21	0	1
a red building with doors and windows behind bars on the ground level , a white balcony with two balcony doors made of wood and glas and two more windows on the left with the white writing Hostal Colonial . 	 doors 	20	25	1	0
a red building with doors and windows behind bars on the ground level , a white balcony with two balcony doors made of wood and glas and two more windows on the left with the white writing Hostal Colonial . 	 doors 	20	25	1	0
a red building with doors and windows behind bars on the ground level , a white balcony with two balcony doors made of wood and glas and two more windows on the left with the white writing Hostal Colonial . 	 doors 	20	25	1	0
a red building with doors and windows behind bars on the ground level , a white balcony with two balcony doors made of wood and glas and two more windows on the left with the white writing Hostal Colonial . 	 a red building 	0	14	1	1
there is a painting above each of the beds . 	 a painting 	9	19	0	0
there is a painting above each of the beds . 	 beds 	38	42	0	0
there is a painting above each of the beds . 	 beds 	38	42	0	0
there is a painting above each of the beds . 	 beds 	38	42	0	0
there is a painting above each of the beds . 	 beds 	38	42	0	0
a room with yellowish walls and two single beds made of wood with colourful bedcovers and a night table next to each bed and a phone and light switches between the two beds . 	 walls 	22	27	0	0
a room with yellowish walls and two single beds made of wood with colourful bedcovers and a night table next to each bed and a phone and light switches between the two beds . 	 a phone 	125	132	0	0
a dark blue building with a large glass door as entrance with the reflection of the opposite street side . 	 a large glass door 	26	44	1	0
there are little cactuses in a small flower pot on the left , and there is another big window on the second floor . 	 another big window 	75	93	1	0
there are little cactuses in a small flower pot on the left , and there is another big window on the second floor . 	 another big window 	75	93	1	0
a dark blue building with a large glass door as entrance with the reflection of the opposite street side . 	 a dark blue building 	0	20	1	1
a dark blue building with a large glass door as entrance with the reflection of the opposite street side . 	 entrance 	48	56	0	0
there is a night table and a lamp on the left , and a wooden window with brownish curtains on the right . 	 a wooden window 	52	67	1	0
there is a night table and a lamp on the left , and a wooden window with brownish curtains on the right . 	 a lamp 	27	33	0	0
a room with white walls and a single bed made of wood . 	 a single bed 	28	40	1	1
there is a night table and a lamp on the left , and a wooden window with brownish curtains on the right . 	 curtains 	82	90	1	0
a room with white walls and a single bed made of wood . 	 walls 	18	23	0	0
a room with white walls and a single bed made of wood . 	 walls 	18	23	0	0
there is a night table and a lamp on the left , and a wooden window with brownish curtains on the right . 	 curtains 	82	90	0	0
there are lamps and windows with white bars on the ground level , with a man with a ladder , a car , pedestrians and a street in front of it . 	 a street 	117	125	1	0
there are lamps and windows with white bars on the ground level , with a man with a ladder , a car , pedestrians and a street in front of it . 	 a car 	93	98	0	0
a brownish red house with a white decorated entrance . 	 entrance 	44	52	0	0
a brownish red house with a white decorated entrance . 	 entrance 	44	52	0	0
a brownish red house with a white decorated entrance . 	 entrance 	44	52	0	0
a brownish red house with a white decorated entrance . 	 entrance 	44	52	0	0
a brownish red house with a white decorated entrance . 	 entrance 	44	52	0	0
a brownish red house with a white decorated entrance . 	 entrance 	44	52	0	0
a room with grey walls and a single bed made of iron with orange and white bedcover . 	 a single bed 	27	39	1	1
wooden door in the background on the right . 	 wooden door 	0	11	0	0
a room with grey walls and a single bed made of iron with orange and white bedcover . 	 walls 	17	22	1	0
a night table with a bedside lamp on the left . 	 a bedside lamp 	19	33	0	0
wooden door in the background on the right . 	 wooden door 	0	11	0	0
a room with grey walls and a single bed made of iron with orange and white bedcover . 	 walls 	17	22	0	1
there is a cab and a man in front of the house , a white wall on the right and a grey house on the left . 	 house 	41	46	0	0
there is a cab and a man in front of the house , a white wall on the right and a grey house on the left . 	 a white wall 	49	61	0	0
there is a cab and a man in front of the house , a white wall on the right and a grey house on the left . 	 house 	41	46	0	0
a narrow , two-storey , brownish red building with bars in front of windows and doors on the ground level and a broad window on the second floor . 	 a broad window 	110	124	0	0
a narrow , two-storey , brownish red building with bars in front of windows and doors on the ground level and a broad window on the second floor . 	 the ground level 	89	105	0	0
a narrow , two-storey , brownish red building with bars in front of windows and doors on the ground level and a broad window on the second floor . 	 the ground level 	89	105	0	0
there is a cab and a man in front of the house , a white wall on the right and a grey house on the left . 	 house 	41	46	0	0
a narrow , two-storey , brownish red building with bars in front of windows and doors on the ground level and a broad window on the second floor . 	 a broad window 	110	124	0	0
a narrow , two-storey , brownish red building with bars in front of windows and doors on the ground level and a broad window on the second floor . 	 a broad window 	110	124	0	0
night table with a bedside lamp between the two beds . 	 two beds 	44	52	1	1
night table with a bedside lamp between the two beds . 	 two beds 	44	52	1	0
